,sentiment,city,country,region
142,negative,Riyadh,Saudi Arabia,Gulf
143,neutral,Riyadh,Saudi Arabia,Gulf
144,neutral,Riyadh,Saudi Arabia,Gulf
145,neutral,Jeddha,Saudi Arabia,Levant
146,negative,Damascus,Syria,Levant
147,positive,Riyadh,Saudi Arabia,Gulf
148,negative,Riyadh,Saudi Arabia,Gulf
149,negative,Riyadh,Saudi Arabia,Gulf
150,neutral,Jeddha,Saudi Arabia,Levant
151,neutral,Riyadh,Saudi Arabia,Gulf
152,neutral,Riyadh,Saudi Arabia,Gulf
153,negative,Riyadh,Saudi Arabia,Gulf
154,neutral,Jeddha,Saudi Arabia,Gulf
155,neutral,Salt,Jordan,Levant
156,neutral,Riyadh,Saudi Arabia,Gulf
157,neutral,Salt,Jordan,Levant
158,neutral,Salt,Jordan,Levant
159,neutral,Salt,Jordan,Levant
160,negative,Riyadh,Saudi Arabia,Gulf
161,neutral,Salt,Jordan,Levant
162,neutral,Salt,Jordan,Levant
163,neutral,Riyadh,Saudi Arabia,Gulf
164,neutral,Salt,Jordan,Levant
165,neutral,Salt,Jordan,Levant
166,negative,Riyadh,Saudi Arabia,Gulf
167,neutral,Salt,Jordan,Levant
168,neutral,Salt,Jordan,Levant
169,neutral,Jeddha,Saudi Arabia,Gulf
170,neutral,Riyadh,Saudi Arabia,Gulf
171,neutral,Salt,Jordan,Levant
172,positive,Riyadh,Saudi Arabia,Gulf
173,negative,Riyadh,Saudi Arabia,Gulf
174,neutral,Salt,Jordan,Levant
175,negative,Riyadh,Saudi Arabia,Gulf
176,neutral,Riyadh,Saudi Arabia,Gulf
177,negative,Riyadh,Saudi Arabia,Gulf
178,neutral,Salt,Jordan,Levant
179,neutral,Salt,Jordan,Levant
180,negative,Jeddha,Saudi Arabia,Gulf
181,negative,Riyadh,Saudi Arabia,Gulf
182,neutral,Riyadh,Saudi Arabia,Gulf
183,neutral,Riyadh,Saudi Arabia,Gulf
184,neutral,Salt,Jordan,Levant
185,neutral,Riyadh,Saudi Arabia,Gulf
186,neutral,Riyadh,Saudi Arabia,Gulf
187,neutral,Salt,Jordan,Levant
