,sentiment,city,country,region
40,negative,Riyadh,Saudi Arabia,Gulf
41,negative,Riyadh,Saudi Arabia,Gulf
42,neutral,Jeddha,Saudi Arabia,Gulf
43,negative,Riyadh,Saudi Arabia,Gulf
44,negative,Riyadh,Saudi Arabia,Gulf
45,neutral,Riyadh,Saudi Arabia,Gulf
46,neutral,Amman,Syria,Levant
47,neutral,Riyadh,Saudi Arabia,Gulf
48,negative,Riyadh,Saudi Arabia,Gulf
49,negative,Riyadh,Saudi Arabia,Gulf
50,negative,Salt,Saudi Arabia,Gulf
51,neutral,Jeddha,Saudi Arabia,Gulf
52,neutral,Riyadh,Saudi Arabia,Gulf
53,neutral,Jeddha,Saudi Arabia,Gulf
54,negative,Salt,Jordan,Levant
55,neutral,Riyadh,Saudi Arabia,Gulf
56,positive,Riyadh,Saudi Arabia,Gulf
57,neutral,Jeddha,Saudi Arabia,Levant
58,negative,Riyadh,Saudi Arabia,Gulf
59,neutral,Amman,Syria,Levant
60,neutral,Amman,Syria,Levant
61,negative,Riyadh,Saudi Arabia,Gulf
62,neutral,Riyadh,Saudi Arabia,Gulf
63,negative,Salt,Saudi Arabia,Gulf
64,neutral,Salt,Jordan,Levant
65,neutral,Salt,Jordan,Levant
66,neutral,Salt,Saudi Arabia,Gulf
67,neutral,Riyadh,Saudi Arabia,Gulf
68,neutral,Salt,Saudi Arabia,Gulf
69,neutral,Riyadh,Saudi Arabia,Gulf
70,neutral,Salt,Saudi Arabia,Gulf
71,neutral,Salt,Saudi Arabia,Gulf
72,neutral,Salt,Saudi Arabia,Gulf
73,negative,Jeddha,Saudi Arabia,Gulf
74,neutral,Salt,Saudi Arabia,Gulf
75,negative,Riyadh,Saudi Arabia,Gulf
76,neutral,Riyadh,Saudi Arabia,Gulf
77,neutral,Riyadh,Saudi Arabia,Gulf
78,negative,Riyadh,Saudi Arabia,Gulf
79,neutral,Riyadh,Saudi Arabia,Gulf
80,neutral,Salt,Jordan,Levant
81,positive,Salt,Jordan,Levant
82,negative,Jeddha,Saudi Arabia,Gulf
83,neutral,Riyadh,Saudi Arabia,Gulf
84,neutral,Salt,Jordan,Levant
85,neutral,Jeddha,Saudi Arabia,Levant
86,negative,Riyadh,Saudi Arabia,Gulf
87,negative,Riyadh,Saudi Arabia,Gulf
88,negative,Aleppo,Syria,Levant
89,neutral,Riyadh,Saudi Arabia,Gulf
90,neutral,Riyadh,Saudi Arabia,Gulf
91,neutral,Riyadh,Saudi Arabia,Gulf
92,negative,Riyadh,Saudi Arabia,Gulf
93,neutral,Jeddha,Saudi Arabia,Gulf
94,neutral,Jeddha,Saudi Arabia,Gulf
95,negative,Aleppo,Syria,Levant
96,negative,Riyadh,Saudi Arabia,Gulf
97,neutral,Riyadh,Saudi Arabia,Gulf
98,neutral,Riyadh,Saudi Arabia,Gulf
99,neutral,Riyadh,Saudi Arabia,Gulf
100,positive,Jeddha,Saudi Arabia,Gulf
101,neutral,Riyadh,Saudi Arabia,Gulf
102,negative,Riyadh,Saudi Arabia,Gulf
103,neutral,Amman,Syria,Levant
104,neutral,Salt,Jordan,Levant
105,neutral,Riyadh,Saudi Arabia,Gulf
106,negative,Riyadh,Saudi Arabia,Gulf
107,negative,Riyadh,Saudi Arabia,Gulf
108,neutral,Khartoum,Sudan,Nile Basin
109,negative,Riyadh,Saudi Arabia,Gulf
110,neutral,Khartoum,Sudan,Nile Basin
111,neutral,Riyadh,Saudi Arabia,Gulf
112,neutral,Riyadh,Saudi Arabia,Gulf
113,neutral,Jeddha,Saudi Arabia,Gulf
114,negative,Riyadh,Saudi Arabia,Gulf
115,neutral,Riyadh,Saudi Arabia,Gulf
116,negative,Riyadh,Saudi Arabia,Gulf
117,neutral,Riyadh,Saudi Arabia,Gulf
118,neutral,Jeddha,Saudi Arabia,Gulf
119,neutral,Riyadh,Saudi Arabia,Gulf
120,neutral,Riyadh,Saudi Arabia,Gulf
121,neutral,Salt,Jordan,Levant
122,neutral,Riyadh,Saudi Arabia,Gulf
123,neutral,Salt,Jordan,Levant
124,neutral,Riyadh,Saudi Arabia,Gulf
125,neutral,Riyadh,Saudi Arabia,Gulf
126,negative,Riyadh,Saudi Arabia,Gulf
127,neutral,Riyadh,Saudi Arabia,Gulf
128,neutral,Rabat,Morocco,Maghreb
129,neutral,Salt,Jordan,Levant
130,neutral,Jeddha,Saudi Arabia,Levant
