,sentiment,city,country,region
15298,neutral,Riyadh,Saudi Arabia,Gulf
15299,neutral,Riyadh,Saudi Arabia,Gulf
15300,neutral,Jeddha,Saudi Arabia,Gulf
15301,neutral,Jeddha,Saudi Arabia,Gulf
15302,neutral,Riyadh,Saudi Arabia,Gulf
15303,neutral,Salt,Jordan,Levant
15304,neutral,Jeddha,Saudi Arabia,Gulf
15305,negative,Salt,Jordan,Levant
15306,neutral,Riyadh,Saudi Arabia,Gulf
15307,neutral,Riyadh,Saudi Arabia,Gulf
15308,negative,Salt,Jordan,Levant
15309,negative,Riyadh,Saudi Arabia,Gulf
15310,neutral,Riyadh,Saudi Arabia,Gulf
15311,neutral,Riyadh,Saudi Arabia,Gulf
15312,neutral,Salt,Jordan,Levant
15313,negative,Riyadh,Saudi Arabia,Gulf
15314,neutral,Salt,Jordan,Levant
15315,neutral,Riyadh,Saudi Arabia,Gulf
15316,neutral,Riyadh,Saudi Arabia,Gulf
15317,neutral,Riyadh,Saudi Arabia,Gulf
15318,neutral,Riyadh,Saudi Arabia,Gulf
15319,negative,Riyadh,Saudi Arabia,Gulf
15320,positive,Jeddha,Saudi Arabia,Gulf
15321,neutral,Riyadh,Saudi Arabia,Gulf
15322,neutral,Riyadh,Saudi Arabia,Gulf
15323,neutral,Riyadh,Saudi Arabia,Gulf
15324,neutral,Riyadh,Saudi Arabia,Gulf
15325,neutral,Riyadh,Saudi Arabia,Gulf
15326,neutral,Riyadh,Saudi Arabia,Gulf
15327,neutral,Riyadh,Saudi Arabia,Gulf
15328,neutral,Riyadh,Saudi Arabia,Gulf
15329,neutral,Riyadh,Saudi Arabia,Gulf
15330,neutral,Riyadh,Saudi Arabia,Gulf
15331,neutral,Riyadh,Saudi Arabia,Gulf
15332,neutral,Riyadh,Saudi Arabia,Gulf
15333,neutral,Riyadh,Saudi Arabia,Gulf
15334,neutral,Riyadh,Saudi Arabia,Gulf
15335,neutral,Riyadh,Saudi Arabia,Gulf
15336,negative,Riyadh,Saudi Arabia,Gulf
15337,neutral,Riyadh,Saudi Arabia,Gulf
15338,neutral,Riyadh,Saudi Arabia,Gulf
15339,neutral,Riyadh,Saudi Arabia,Gulf
15340,neutral,Riyadh,Saudi Arabia,Gulf
15341,neutral,Riyadh,Saudi Arabia,Gulf
15342,neutral,Riyadh,Saudi Arabia,Gulf
15343,neutral,Riyadh,Saudi Arabia,Gulf
15344,neutral,Riyadh,Saudi Arabia,Gulf
15345,neutral,Riyadh,Saudi Arabia,Gulf
15346,neutral,Riyadh,Saudi Arabia,Gulf
15347,neutral,Riyadh,Saudi Arabia,Gulf
15348,neutral,Riyadh,Saudi Arabia,Gulf
15349,neutral,Riyadh,Saudi Arabia,Gulf
15350,neutral,Riyadh,Saudi Arabia,Gulf
15351,neutral,Riyadh,Saudi Arabia,Gulf
15352,neutral,Riyadh,Saudi Arabia,Gulf
15353,neutral,Riyadh,Saudi Arabia,Gulf
15354,neutral,Riyadh,Saudi Arabia,Gulf
15355,neutral,Riyadh,Saudi Arabia,Gulf
15356,negative,Riyadh,Saudi Arabia,Gulf
15357,neutral,Riyadh,Saudi Arabia,Gulf
15358,neutral,Riyadh,Saudi Arabia,Gulf
15359,neutral,Riyadh,Saudi Arabia,Gulf
15360,neutral,Riyadh,Saudi Arabia,Gulf
15361,neutral,Riyadh,Saudi Arabia,Gulf
15362,neutral,Riyadh,Saudi Arabia,Gulf
15363,neutral,Riyadh,Saudi Arabia,Gulf
15364,neutral,Riyadh,Saudi Arabia,Gulf
15365,neutral,Riyadh,Saudi Arabia,Gulf
15366,neutral,Riyadh,Saudi Arabia,Gulf
15367,neutral,Riyadh,Saudi Arabia,Gulf
15368,neutral,Riyadh,Saudi Arabia,Gulf
15369,neutral,Riyadh,Saudi Arabia,Gulf
15370,neutral,Riyadh,Saudi Arabia,Gulf
15371,neutral,Riyadh,Saudi Arabia,Gulf
15372,neutral,Riyadh,Saudi Arabia,Gulf
15373,negative,Riyadh,Saudi Arabia,Gulf
15374,neutral,Riyadh,Saudi Arabia,Gulf
15375,neutral,Riyadh,Saudi Arabia,Gulf
15376,neutral,Riyadh,Saudi Arabia,Gulf
15377,neutral,Riyadh,Saudi Arabia,Gulf
15378,neutral,Riyadh,Saudi Arabia,Gulf
15379,neutral,Riyadh,Saudi Arabia,Gulf
15380,neutral,Riyadh,Saudi Arabia,Gulf
15381,neutral,Riyadh,Saudi Arabia,Gulf
15382,neutral,Riyadh,Saudi Arabia,Gulf
15383,neutral,Riyadh,Saudi Arabia,Gulf
15384,neutral,Riyadh,Saudi Arabia,Gulf
15385,neutral,Riyadh,Saudi Arabia,Gulf
15386,neutral,Riyadh,Saudi Arabia,Gulf
15387,neutral,Riyadh,Saudi Arabia,Gulf
15388,neutral,Riyadh,Saudi Arabia,Gulf
15389,neutral,Riyadh,Saudi Arabia,Gulf
15390,neutral,Riyadh,Saudi Arabia,Gulf
15391,neutral,Riyadh,Saudi Arabia,Gulf
15392,neutral,Riyadh,Saudi Arabia,Gulf
15393,neutral,Riyadh,Saudi Arabia,Gulf
15394,negative,Riyadh,Saudi Arabia,Gulf
15395,neutral,Riyadh,Saudi Arabia,Gulf
15396,neutral,Riyadh,Saudi Arabia,Gulf
15397,neutral,Riyadh,Saudi Arabia,Gulf
15398,negative,Riyadh,Saudi Arabia,Gulf
15399,neutral,Riyadh,Saudi Arabia,Gulf
15400,neutral,Riyadh,Saudi Arabia,Gulf
15401,neutral,Riyadh,Saudi Arabia,Gulf
15402,negative,Salt,Jordan,Levant
15403,neutral,Riyadh,Saudi Arabia,Gulf
15404,neutral,Riyadh,Saudi Arabia,Gulf
15405,neutral,Riyadh,Saudi Arabia,Gulf
15406,negative,Riyadh,Saudi Arabia,Gulf
15407,negative,Riyadh,Saudi Arabia,Gulf
15408,negative,Salt,Jordan,Levant
15409,negative,Salt,Jordan,Levant
15410,negative,Salt,Jordan,Levant
15411,negative,Jeddha,Saudi Arabia,Gulf
15412,neutral,Riyadh,Saudi Arabia,Gulf
15413,neutral,Riyadh,Saudi Arabia,Gulf
15414,negative,Salt,Jordan,Levant
15415,negative,Salt,Jordan,Levant
15416,neutral,Riyadh,Saudi Arabia,Gulf
15417,neutral,Riyadh,Saudi Arabia,Gulf
15418,neutral,Riyadh,Saudi Arabia,Gulf
15419,negative,Salt,Jordan,Levant
15420,negative,Riyadh,Saudi Arabia,Gulf
15421,negative,Salt,Jordan,Levant
15422,positive,Riyadh,Saudi Arabia,Gulf
15423,negative,Salt,Jordan,Levant
15424,positive,Riyadh,Saudi Arabia,Gulf
15425,positive,Riyadh,Saudi Arabia,Gulf
15426,positive,Riyadh,Saudi Arabia,Gulf
15427,neutral,Riyadh,Saudi Arabia,Gulf
15428,neutral,Salt,Jordan,Levant
15429,neutral,Riyadh,Saudi Arabia,Gulf
15430,negative,Salt,Jordan,Levant
15431,negative,Riyadh,Saudi Arabia,Gulf
15432,negative,Jeddha,Saudi Arabia,Gulf
15433,neutral,Salt,Jordan,Levant
15434,neutral,Salt,Jordan,Levant
